line_item_narative,Line_item_target,aug_flag
Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham,default
"Oops, I'll let you know when my roommate's done",ham,default
I see the letter B on my car,ham,default
Anything lor... U decide...,ham,default
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham,default
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,default
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham,default
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam,default
Didn't you get hep b immunisation in nigeria.,ham,default
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham,default
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham,default
What you thinked about me. First time you saw me in class.,ham,default
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",ham,default
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,default
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,default
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam,default
"Sorry, I'll call later in meeting.",ham,default
Tell where you reached,ham,default
Yes..gauti and sehwag out of odi series.,ham,default
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham,default
"Sorry my roommates took forever, it ok if I come by now?",ham,default
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham,default
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",ham,default
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam,default
Finished class where are you.,ham,default
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham,default
U can call me now...,ham,default
Thats cool. i am a gentleman and will treat you with dignity and respect.,ham,default
I like you peoples very much:) but am very shy pa.,ham,default
Does not operate after  &lt;#&gt;  or what,ham,default
K. Did you call me just now ah? ,ham,default
Ok i am on the way to home hi hi,ham,default
You will be in the place of that man,ham,default
"I call you later, don't have network. If urgnt, sms me.",ham,default
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham,default
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham,default
"Ela kano.,il download, come wen ur free..",ham,default
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,ham,default
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham,default
i see. When we finish we have loads of loans to pay,ham,default
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",ham,default
I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham,default
Umma my life and vava umma love you lot dear,ham,default
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham,default
"Aight, I'll hit you up when I get some cash",ham,default
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham,default
Dont worry. I guess he's busy.,ham,default
Going for dinner.msg you after.,ham,default
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam,default
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,default
You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,spam,default
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,ham,default
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham,default
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam,default
"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam,default
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam,default
ÌÏ predict wat time Ì_'ll finish buying?,ham,default
"Good stuff, will do.",ham,default
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham,default
Are you there in room.,ham,default
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham,default
K..k:)how much does it cost?,ham,default
I'm home.,ham,default
"Dear, will call Tmorrow.pls accomodate.",ham,default
First answer my question.,ham,default
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam,default
No no. I will check all rooms befor activities,ham,default
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,default
Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,ham,default
"Sir, Waiting for your mail.",ham,default
"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",ham,default
I know you are. Can you pls open the back?,ham,default
Yes see ya not on the dot,ham,default
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam,default
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham,default
K..i deleted my contact that why?,ham,default
Sindu got job in birla soft ..,ham,default
Aaooooright are you at work?,ham,default
I'm leaving my house now...,ham,default
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",ham,default
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ham,default
New car and house for my parents.:)i have only new job in hand:),ham,default
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham,default
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam,default
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam,default
I place all ur points on e cultures module already.,ham,default
URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam,default
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham,default
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",ham,default
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",ham,default
"Well, i'm gonna finish my bath now. Have a good...fine night.",ham,default
Let me know when you've got the money so carlos can make the call,ham,default
Text her. If she doesnt reply let me know so i can have her log in,ham,default
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,ham,default
Going on nothing great.bye,ham,default
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam,default
Have you got Xmas radio times. If not i will get it now,ham,default
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ham,default
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,ham,default
Hi :)finally i completed the course:),ham,default
Gud mrng dear hav a nice day,ham,default
Did u got that persons story,ham,default
"Found it, ENC  &lt;#&gt; , where you at?",ham,default
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham,default
Goodmorning sleeping ga.,ham,default
U call me alter at 11 ok.,ham,default
"Aight yo, dats straight dogg",ham,default
Both :) i shoot big loads so get ready!,ham,default
"What's up bruv, hope you had a great break. Do have a rewarding semester.",ham,default
K:)k:)good:)study well.,ham,default
Finally the match heading towards draw as your prediction.,ham,default
Tired. I haven't slept well the past few nights.,ham,default
I have to take exam with march 3,ham,default
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,ham,default
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,default
Hey company elama po mudyadhu.,ham,default
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham,default
Dear good morning now only i am up,ham,default
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham,default
I have printed it oh. So  &lt;#&gt;  come upstairs,ham,default
Or ill be a little closer like at the bus stop on the same street,ham,default
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham,default
U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam,default
Tomarrow final hearing on my laptop case so i cant.,ham,default
PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,ham,default
Too late. I said i have the website. I didn't i have or dont have the slippers,ham,default
I asked you to call him now ok,ham,default
Kallis wont bat in 2nd innings.,ham,default
It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,ham,default
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam,default
Ranjith cal drpd Deeraj and deepak 5min hold,ham,default
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",ham,default
"I'm back, lemme know when you're ready",ham,default
Where are you lover ? I need you ...,ham,default
IÛ÷m parked next to a MINI!!!! When are you coming in today do you think?,ham,default
Yup,ham,default
Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,ham,default
MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,ham,default
Why you Dint come with us.,ham,default
Same. Wana plan a trip sometme then,ham,default
"Not sure yet, still trying to get a hold of him",ham,default
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,spam,default
The evo. I just had to download flash. Jealous?,ham,default
Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,spam,default
"Come to mu, we're sorting out our narcotics situation",ham,default
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",ham,default
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam,default
"Usf I guess, might as well take 1 car",ham,default
Thanx...,ham,default
Tell rob to mack his gf in the theater,ham,default
"Awesome, I'll see you in a bit",ham,default
All done? All handed in? Celebrations in full swing yet?,ham,default
You got called a tool?,ham,default
\Wen u miss someone,ham,default
"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",ham,default
"K, I might come by tonight then if my class lets out early",ham,default
Ok..,ham,default
"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",ham,default
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",ham,default
Hey you told your name to gautham ah?,ham,default
Oops. 4 got that bit.,ham,default
Unless it's a situation where YOU GO GURL would be more appropriate,ham,default
I cant pick the phone right now. Pls send a message,ham,default
Need a coffee run tomo?Can't believe it's that time of week already,ham,default
He is a womdarfull actor,ham,default
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",spam,default
Yup... From what i remb... I think should be can book... ,ham,default
Jos ask if u wana meet up?,ham,default
Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,ham,default
"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",spam,default
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham,default
"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",spam,default
You made my day. Do have a great day too.,ham,default
K.k:)advance happy pongal.,ham,default
"Not really dude, have no friends i'm afraid :(",ham,default
"Merry Christmas to you too babe, i love ya *kisses*",ham,default
Hey... Why dont we just go watch x men and have lunch... Haha ,ham,default
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,ham,default
No problem. How are you doing?,ham,default
"Cool, text me when you're parked",ham,default
I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,ham,default
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,spam,default
Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,spam,default
Cool. So how come you havent been wined and dined before?,ham,default
Ok that's great thanx a lot.,ham,default
I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,ham,default
Where u been hiding stranger?,ham,default
Am not interested to do like that.,ham,default
My sister cleared two round in birla soft yesterday.,ham,default
Gudnite....tc...practice going on,ham,default
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,ham,default
One small prestige problem now.,ham,default
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,default
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,ham,default
"Nah can't help you there, I've never had an iphone",ham,default
If you're not in my car in an hour and a half I'm going apeshit,ham,default
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,ham,default
&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,ham,default
"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",ham,default
"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",ham,default
Check audrey's status right now,ham,default
"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",ham,default
Well i know Z will take care of me. So no worries.,ham,default
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",spam,default
Wat uniform? In where get?,ham,default
"Cool, text me when you're ready",ham,default
"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",ham,default
I will spoil you in bed as well :),ham,default
I'm going for bath will msg you next  &lt;#&gt;  min..,ham,default
Can you say what happen,ham,default
You could have seen me..i did't recognise you Face.:),ham,default
Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,ham,default
I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,ham,default
"Yeah sure, give me a couple minutes to track down my wallet",ham,default
Hey leave it. not a big deal:-) take care.,ham,default
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",spam,default
Customer place i will call you.,ham,default
Mm that time you dont like fun,ham,default
Yup having my lunch buffet now.. U eat already?,ham,default
Huh so late... Fr dinner?,ham,default
Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,ham,default
Morning only i can ok.,ham,default
Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,ham,default
From here after The performance award is calculated every two month.not for current one month period..,ham,default
Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,ham,default
"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",ham,default
"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",ham,default
Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,ham,default
Dear how is chechi. Did you talk to her,ham,default
The hair cream has not been shipped.,ham,default
None of that's happening til you get here though,ham,default
"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",ham,default
"Haha get used to driving to usf man, I know a lot of stoners",ham,default
All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,ham,default
Hello! Good week? Fancy a drink or something later?,ham,default
Headin towards busetop,ham,default
Come by our room at some point so we can iron out the plan for this weekend,ham,default
Cos i want it to be your thing,ham,default
"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",ham,default
Bring home some Wendy =D,ham,default
100 dating service cal;l 09064012103 box334sk38ch,spam,default
Alright i have a new goal now,ham,default
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,spam,default
Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,ham,default
Ok. She'll be ok. I guess,ham,default
aathi..where are you dear..,ham,default
Any pain on urination any thing else?,ham,default
7 at esplanade.. Do Ì_ mind giving me a lift cos i got no car today..,ham,default
At home watching tv lor.,ham,default
Does she usually take fifteen fucking minutes to respond to a yes or no question,ham,default
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,spam,default
You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,ham,default
How long does applebees fucking take,ham,default
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",ham,default
You were supposed to wake ME up &gt;:(,ham,default
Oic... I saw him too but i tot he din c me... I found a group liao...,ham,default
I wont get concentration dear you know you are my mind and everything :-),ham,default
LOL ... Have you made plans for new years?,ham,default
10 min later k...,ham,default
hanks lotsly!,ham,default
K:)k:)what are detail you want to transfer?acc no enough?,ham,default
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam,default
Si si. I think ill go make those oreo truffles.,ham,default
"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONåÕT LIKE ME LIKE THAT SO DONåÕT WORRY.",ham,default
Great. Never been better. Each day gives even more reasons to thank God,ham,default
"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available",spam,default
"Sorry, I'll call later ok bye",ham,default
Ok i am on the way to railway,ham,default
They don't put that stuff on the roads to keep it from getting slippery over there?,ham,default
When are you going to ride your bike?,ham,default
"Yup, no need. I'll jus wait 4 e rain 2 stop.",ham,default
okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,spam,default
"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",ham,default
Nice line said by a broken heart- Plz don't cum 1 more times infront of me... Other wise once again I ll trust U... Good 9t:),ham,default
Ok I'm gonna head up to usf in like fifteen minutes,ham,default
Tension ah?what machi?any problem?,ham,default
"K, can I pick up another 8th when you're done?",ham,default
"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",ham,default
Watching tv lor...,ham,default
Thank you baby! I cant wait to taste the real thing...,ham,default
You should change your fb to jaykwon thuglyfe falconerf,ham,default
If we win its really no 1 side for long time.,ham,default
Dear reached railway. What happen to you,ham,default
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",ham,default
I think i've fixed it can you send a test message?,ham,default
"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",ham,default
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam,default
"Sorry,in meeting I'll call later",ham,default
Got meh... When?,ham,default
Nope... Think i will go for it on monday... Sorry i replied so late,ham,default
Some of them told accenture is not confirm. Is it true.,ham,default
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",ham,default
When can Ì_ come out?,ham,default
+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,spam,default
"Maybe westshore or hyde park village, the place near my house?",ham,default
You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,ham,default
What's the significance?,ham,default
"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",ham,default
Prabha..i'm soryda..realy..frm heart i'm sory,ham,default
Lol ok your forgiven :),ham,default
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,spam,default
Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz,spam,default
"That way transport is less problematic than on sat night. By the way, if u want to ask  n  to join my bday, feel free. But need to know definite nos as booking on fri. ",ham,default
But that's on ebay it might be less elsewhere.,ham,default
Shall i come to get pickle,ham,default
Were gonna go get some tacos,ham,default
"That's very rude, you on campus?",ham,default
"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",spam,default
Yes! How is a pretty lady like you single?,ham,default
You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,spam,default
Jay says that you're a double-faggot,ham,default
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,spam,default
What Today-sunday..sunday is holiday..so no work..,ham,default
I'll be late...,ham,default
"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",ham,default
"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",ham,default
Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,ham,default
Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ham,default
from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,spam,default
"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'",ham,default
Then any special there?,ham,default
I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,ham,default
Wait  &lt;#&gt;  min..,ham,default
"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",ham,default
"Hurry up, I've been weed-deficient for like three days",ham,default
IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book,ham,default
O. Well uv causes mutations. Sunscreen is like essential thesedays,ham,default
Having lunch:)you are not in online?why?,ham,default
I know that my friend already told that.,ham,default
"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",ham,default
Thanx 4 e brownie it's v nice...,ham,default
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,spam,default
"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",ham,default
Oooh bed ridden ey? What are YOU thinking of?,ham,default
