Line_item_target,line_item_narative,label,train_test_tag,description,word_count,yake_keywords,yake_keywords_cutoff,yake_keywords_cutoff_ud,augm_text_default_mn_gpt_neo
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,train,gent! trying contact you. last weekends draw shows å£1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm,20,"[('gent', 0.07603480450132771), ('call', 0.3378791551946096), ('valid', 0.3904620527534316), ('prize', 0.6248495858299584), ('guaranteed', 0.6248495858299584), ('prize guaranteed', 0.640519532940844), ('claim', 0.6997045997472555), ('code', 0.6997045997472555), ('contact', 0.7200639774889672), ('weekends', 0.7893670080542455), ('draw', 0.7893670080542455), ('shows', 0.7893670080542455), ('claim code', 0.9591959317631684), ('weekends draw', 1.6532255914137604), ('draw shows', 1.6532255914137604), ('weekends draw shows', 4.2991002268234695)]","['call', 'valid', 'prize', 'guaranteed', 'prize guaranteed', 'claim', 'code', 'contact', 'weekends', 'draw', 'shows', 'claim code', 'weekends draw', 'draw shows', 'weekends draw shows']","call,valid,prize,guaranteed,prize guaranteed,claim,code,contact,weekends,draw,shows,claim code,weekends draw,draw shows,weekends draw shows",",draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw"
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,train,winner u specially selected 2 receive å£1000 4* holiday (flights inc) speak live operator 2 claim 0871277810910p/min (18+),18,"[('speak live operator', 0.0015043378032723917), ('winner u specially', 0.015380821171891606), ('specially selected', 0.015380821171891606), ('speak live', 0.015380821171891606), ('live operator', 0.015380821171891606), ('holiday', 0.04491197687864554), ('claim', 0.04491197687864554), ('min', 0.04491197687864554), ('winner', 0.09568045026443411), ('selected', 0.09568045026443411), ('receive', 0.09568045026443411), ('flights', 0.09568045026443411), ('speak', 0.09568045026443411), ('operator', 0.09568045026443411), ('specially', 0.15831692877998726), ('live', 0.15831692877998726)]",[],,on-1-0-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,train,private! 2004 account statement 07742676969 shows 786 unredeemed bonus points. claim call 08719180248 identifier code: 45239 expires,17,"[('private', 0.06588837669267192), ('shows', 0.19677146788549632), ('expires', 0.26303348124903125), ('account statement', 0.32441639786848336), ('unredeemed bonus points', 0.40991697689533735), ('account', 0.4949246952252326), ('statement', 0.4949246952252326), ('unredeemed', 0.4949246952252326), ('points', 0.4949246952252326), ('unredeemed bonus', 0.5162806230574593), ('bonus points', 0.5162806230574593), ('claim call', 0.5286731219590494), ('identifier code', 0.5286731219590494), ('claim', 0.5880798524606783), ('call', 0.5880798524606783), ('identifier', 0.5880798524606783), ('code', 0.5880798524606783), ('bonus', 0.68796622281612)]","['expires', 'account statement', 'unredeemed bonus points', 'account', 'statement', 'unredeemed', 'points', 'unredeemed bonus', 'bonus points', 'claim call', 'identifier code', 'claim', 'call', 'identifier', 'code', 'bonus']","expires,account statement,unredeemed bonus points,account,statement,unredeemed,points,unredeemed bonus,bonus points,claim call,identifier code,claim,call,identifier,code,bonus",",bonus,bonus,bonus,bonus,bonus,bonus,bonus,bonus,bonus,bonus,bonus,bonus,bonus,bonus,bonus,bonus,bon"
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,train,"urgent! mobile no. awarded å£2000 bonus caller prize 5/9/03 final try contact u! call landline 09064019788 box42wr29c, 150ppm",18,"[('urgent', 0.06588837669267192), ('bonus caller prize', 0.40991697689533735), ('mobile', 0.4949246952252326), ('bonus', 0.4949246952252326), ('prize', 0.4949246952252326), ('final', 0.4949246952252326), ('mobile no. awarded', 0.5162806230574593), ('bonus caller', 0.5162806230574593), ('caller prize', 0.5162806230574593), ('final try contact', 0.5162806230574593), ('call landline', 0.5286731219590494), ('call', 0.5880798524606783), ('landline', 0.5880798524606783), ('awarded', 0.68796622281612), ('caller', 0.68796622281612), ('contact', 0.68796622281612)]","['bonus caller prize', 'mobile', 'bonus', 'prize', 'final', 'mobile no. awarded', 'bonus caller', 'caller prize', 'final try contact', 'call landline', 'call', 'landline', 'awarded', 'caller', 'contact']","bonus caller prize,mobile,bonus,prize,final,mobile no. awarded,bonus caller,caller prize,final try contact,call landline,call,landline,awarded,caller,contact",",contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact,contact"
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,train,todays voda numbers ending 7548 selected receive $350 award. match please call 08712300220 quoting claim code 4041 standard rates app,20,"[('todays voda numbers', 0.03356262313410168), ('voda numbers ending', 0.03356262313410168), ('selected receive', 0.04188746641162499), ('award', 0.05899937629682816), ('todays voda', 0.07796891081290885), ('numbers ending', 0.07796891081290885), ('voda numbers', 0.1495930091794576), ('todays', 0.2005079697193566), ('ending', 0.2005079697193566), ('selected', 0.2005079697193566), ('receive', 0.2005079697193566), ('match please call', 0.2766850298235749), ('quoting claim code', 0.31623118328058825), ('standard rates app', 0.31623118328058825), ('voda', 0.36073110501666333), ('numbers', 0.36073110501666333), ('quoting claim', 0.4456055016437946), ('claim code', 0.4456055016437946), ('standard rates', 0.4456055016437946), ('rates app', 0.4456055016437946)]","['todays', 'ending', 'selected', 'receive', 'match please call', 'quoting claim code', 'standard rates app', 'voda', 'numbers', 'quoting claim', 'claim code', 'standard rates', 'rates app']","todays,ending,selected,receive,match please call,quoting claim code,standard rates app,voda,numbers,quoting claim,claim code,standard rates,rates app",",voda,numbers,quoting claim,claim code,standard rates,rates app,voda,numbers,quoting claim,claim code,standard rates,rates app,voda,numbers,quoting claim,claim"
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,train,want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join uk's largest dogging network bt txting gravel 69888! nt. ec2a. 31p.msg@150p,26,"[('laid tonight', 0.05298753015965972), ('tonight', 0.1796102704524507), ('laid', 0.2801684850679993), ('dogging', 0.3276096060357531), ('locations sent direct', 0.33026842554005303), ('direct', 0.43193700797556733), ('mob', 0.43193700797556733), ('join', 0.5255733135393469), ('gravel', 0.5255733135393469), ('join uk largest', 0.5351054102521787), ('txting gravel', 0.5351054102521787), ('real', 0.5747875562900534), ('locations', 0.5747875562900534), ('real dogging', 0.6041370045040616), ('dogging locations', 0.6041370045040616), ('real dogging locations', 0.6196608343390847), ('largest', 0.6632356073337531), ('network', 0.6632356073337531), ('txting', 0.6632356073337531), ('largest dogging', 0.7685489769029946)]","['laid', 'dogging', 'locations sent direct', 'direct', 'mob', 'join', 'gravel', 'join uk largest', 'txting gravel', 'real', 'locations', 'real dogging', 'dogging locations', 'real dogging locations', 'largest', 'network', 'txting', 'largest dogging']","laid,dogging,locations sent direct,direct,mob,join,gravel,join uk largest,txting gravel,real,locations,real dogging,dogging locations,real dogging locations,largest,network,txting,largest dogging"," locations,real dogging locations,largest dogging locations,largest dogging locations,largest dogging locations,largest dogging locations,largest dogging locations,largest dogging locations,largest dogging locations,largest dogging locations,largest dogging"
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,train,rcv msgs chat svc. free hardcore services text go to: 69988 u get nothing u must age verify yr network & try,22,"[('rcv msgs chat', 0.005401660759706154), ('msgs chat svc', 0.005401660759706154), ('rcv msgs', 0.02541909697430123), ('chat svc', 0.02541909697430123), ('msgs chat', 0.04188746641162499), ('free hardcore services', 0.11501181900411048), ('rcv', 0.12363091320521931), ('svc', 0.12363091320521931), ('free hardcore', 0.18075564686791562), ('verify yr network', 0.18075564686791562), ('hardcore services text', 0.1829003496708144), ('msgs', 0.2005079697193566), ('chat', 0.2005079697193566), ('hardcore services', 0.2766850298235749), ('services text', 0.2766850298235749), ('age verify', 0.2766850298235749), ('free', 0.32883716426354986), ('network', 0.32883716426354986), ('hardcore', 0.46553351027698087), ('services', 0.46553351027698087)]","['msgs', 'chat', 'hardcore services', 'services text', 'age verify', 'free', 'network', 'hardcore', 'services']","msgs,chat,hardcore services,services text,age verify,free,network,hardcore,services",",services text,age verify,free,network,hardcore services,services text,age verify,free,network,hardcore services,services text,age verify,free,network,hardcore services,services text,age verify,free"
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,train,"freemsg replied text? i'm randy, sexy, female live local. luv hear u. netcollex ltd 08700621170150p per msg reply stop end",20,"[('freemsg replied text', 0.02297976975716566), ('freemsg replied', 0.0934346755383478), ('replied text', 0.0934346755383478), ('sexy', 0.19677146788549632), ('freemsg', 0.2200560909321288), ('text', 0.2200560909321288), ('replied', 0.38831292435681075), ('female live local', 0.40991697689533735), ('randy', 0.4949246952252326), ('female', 0.4949246952252326), ('local', 0.4949246952252326), ('female live', 0.5162806230574593), ('live local', 0.5162806230574593), ('luv', 0.5880798524606783), ('end', 0.5880798524606783), ('live', 0.68796622281612), ('hear', 0.7625957055371981), ('netcollex', 0.7625957055371981), ('msg', 0.7625957055371981), ('reply', 0.7625957055371981)]","['freemsg', 'text', 'replied', 'female live local', 'randy', 'female', 'local', 'female live', 'live local', 'luv', 'end', 'live', 'hear', 'netcollex', 'msg', 'reply']","freemsg,text,replied,female live local,randy,female,local,female live,live local,luv,end,live,hear,netcollex,msg,reply",",hear,netcollex,msg,reply,hear,netcollex,msg,reply,hear,netcollex,msg,reply,hear,netcollex,msg,reply,hear,netcol"
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,train,-pls stop bootydelious (32/f) inviting friend. reply yes-434 no-434 see her: www.sms.ac/u/bootydelious stop? send stop frnd 62468,17,"[('inviting friend', 0.026400819561228552), ('pls stop bootydelious', 0.049768363173609324), ('pls stop', 0.09255135613096267), ('pls', 0.1603800000866393), ('inviting', 0.1603800000866393), ('friend', 0.1603800000866393), ('stop', 0.17606355318125702), ('bootydelious', 0.20602937114000716), ('send stop frnd', 0.258067618627351), ('reply', 0.27175631965823915), ('stop bootydelious', 0.278193070778982), ('bootydelious stop', 0.278193070778982), ('send stop', 0.35062510908063954), ('stop frnd', 0.35062510908063954), ('send', 0.49149315914721364), ('frnd', 0.49149315914721364)]","['bootydelious', 'send stop frnd', 'reply', 'stop bootydelious', 'bootydelious stop', 'send stop', 'stop frnd', 'send', 'frnd']","bootydelious,send stop frnd,reply,stop bootydelious,bootydelious stop,send stop,stop frnd,send,frnd",",send stop,stop frnd,send stop,stop frnd,send stop,stop frnd,send stop,stop frnd,send stop,stop frnd,send stop,stop frnd,send stop,stop frnd,"
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,train,"bangbabes ur order way. u receive service msg 2 download ur content. u not, goto wap. bangb. tv ur mobile internet/service menu",22,"[('bangbabes ur order', 0.0308721641579494), ('bangbabes', 0.1439385148926695), ('download ur content', 0.15729892777256743), ('receive service msg', 0.1827136648381196), ('order', 0.20805839527934902), ('goto wap. bangb', 0.23871926423295237), ('service msg', 0.2635410217835608), ('service', 0.28287122930839437), ('goto wap.', 0.3556486017318683), ('wap. bangb', 0.3556486017318683), ('msg', 0.3686719582445498), ('download', 0.3686719582445498), ('content', 0.3686719582445498), ('receive service', 0.36971359647152563), ('service menu', 0.4060303060382291), ('goto', 0.4596918596988541), ('bangb', 0.4596918596988541), ('mobile internet', 0.462615593793215), ('receive', 0.4771082013778284), ('internet', 0.5104403470276165)]","['order', 'goto wap. bangb', 'service msg', 'service', 'goto wap.', 'wap. bangb', 'msg', 'download', 'content', 'receive service', 'service menu', 'goto', 'bangb', 'mobile internet', 'receive', 'internet']","order,goto wap. bangb,service msg,service,goto wap.,wap. bangb,msg,download,content,receive service,service menu,goto,bangb,mobile internet,receive,internet",",download,receive,download,receive,download,receive,download,receive,download,receive,download,receive,download,receive,download,receive,download,receive,download,receive"
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,train,urgent! trying contact you. last weekends draw shows å£900 prize guaranteed. call 09061701939. claim code s89. valid 12hrs,18,"[('urgent', 0.07459883109391804), ('call', 0.3332818045696117), ('valid', 0.3855658647178386), ('prize', 0.6200038627901097), ('guaranteed', 0.6200038627901097), ('prize guaranteed', 0.6244440885048271), ('claim', 0.6953543556939098), ('code', 0.6953543556939098), ('contact', 0.7158889130125407), ('weekends', 0.7859182515386961), ('draw', 0.7859182515386961), ('shows', 0.7859182515386961), ('claim code', 0.9361746980343923), ('weekends draw', 1.6155244323587354), ('draw shows', 1.6155244323587354), ('weekends draw shows', 4.118409067985813)]","['call', 'valid', 'prize', 'guaranteed', 'prize guaranteed', 'claim', 'code', 'contact', 'weekends', 'draw', 'shows', 'claim code', 'weekends draw', 'draw shows', 'weekends draw shows']","call,valid,prize,guaranteed,prize guaranteed,claim,code,contact,weekends,draw,shows,claim code,weekends draw,draw shows,weekends draw shows",",draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw shows,draw"
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,train,please call customer service representative freephone 0808 145 4742 9am-11pm guaranteed å£1000 cash å£5000 prize!,15,"[('service representative freephone', 0.0025258761156662004), ('call customer service', 0.0042542192213185686), ('customer service representative', 0.0042542192213185686), ('representative freephone', 0.015380821171891606), ('call customer', 0.02570861714399338), ('customer service', 0.02570861714399338), ('service representative', 0.02570861714399338), ('prize', 0.04491197687864554), ('freephone', 0.09568045026443411), ('guaranteed', 0.09568045026443411), ('cash', 0.09568045026443411), ('call', 0.15831692877998726), ('customer', 0.15831692877998726), ('service', 0.15831692877998726), ('representative', 0.15831692877998726)]",[],,on-1-0-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-
