Line_item_target,line_item_narative,label,train_test_tag,description,word_count,yake_keywords,yake_keywords_cutoff,yake_keywords_cutoff_ud
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,train,"i'm gonna home soon want talk stuff anymore tonight, k? i've cried enough today.",14,"[('stuff anymore tonight', 0.005401660759706154), ('talk stuff anymore', 0.009001679881101624), ('anymore tonight', 0.02541909697430123), ('gonna home', 0.04188746641162499), ('talk stuff', 0.04188746641162499), ('stuff anymore', 0.04188746641162499), ('tonight', 0.12363091320521931), ('cried enough today', 0.18075564686791562), ('gonna', 0.2005079697193566), ('home', 0.2005079697193566), ('talk', 0.2005079697193566), ('stuff', 0.2005079697193566), ('anymore', 0.2005079697193566), ('today', 0.32883716426354986), ('cried', 0.46553351027698087)]","['gonna', 'home', 'talk', 'stuff', 'anymore', 'today', 'cried']","gonna,home,talk,stuff,anymore,today,cried"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,train,"six chances win cash! 100 20,000 pounds txt> csh11 send 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info",21,"[('chances win cash', 0.04455847491337158), ('win cash', 0.0934346755383478), ('chances win', 0.17756077014849755), ('send', 0.19677146788549632), ('cash', 0.2200560909321288), ('cost', 0.26303348124903125), ('day', 0.26303348124903125), ('info', 0.26303348124903125), ('pounds txt', 0.32441639786848336), ('chances', 0.38831292435681075), ('win', 0.38831292435681075), ('pounds', 0.4949246952252326), ('txt', 0.4949246952252326), ('tsandcs', 0.5880798524606783), ('apply', 0.7625957055371981), ('reply', 0.7625957055371981), ('tsandcs apply', 0.8131286944405928), ('apply reply', 1.3897843987848642), ('tsandcs apply reply', 1.6641344268913383)]","['cash', 'cost', 'day', 'info', 'pounds txt', 'chances', 'win', 'pounds', 'txt', 'tsandcs', 'apply', 'reply', 'tsandcs apply', 'apply reply', 'tsandcs apply reply']","cash,cost,day,info,pounds txt,chances,win,pounds,txt,tsandcs,apply,reply,tsandcs apply,apply reply,tsandcs apply reply"
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,test,"urgent! 1 week free membership å£100,000 prize jackpot! txt word: claim no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18",18,"[('urgent', 0.06588837669267192), ('prize jackpot', 0.32441639786848336), ('week', 0.4949246952252326), ('prize', 0.4949246952252326), ('jackpot', 0.4949246952252326), ('week free', 0.5162806230574593), ('txt word', 0.5286731219590494), ('lccltd pobox', 0.5286731219590494), ('txt', 0.5880798524606783), ('word', 0.5880798524606783), ('claim', 0.5880798524606783), ('lccltd', 0.5880798524606783), ('pobox', 0.5880798524606783), ('free', 0.68796622281612), ('membership', 0.68796622281612), ('week free membership', 0.7455031627189533), ('free membership', 0.8986050855370177)]","['prize jackpot', 'week', 'prize', 'jackpot', 'week free', 'txt word', 'lccltd pobox', 'txt', 'word', 'claim', 'lccltd', 'pobox', 'free', 'membership', 'week free membership', 'free membership']","prize jackpot,week,prize,jackpot,week free,txt word,lccltd pobox,txt,word,claim,lccltd,pobox,free,membership,week free membership,free membership"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,train,i've searching right words thank breather. promise wont take help granted fulfil promise. wonderful blessing times.,16,"[('words thank breather', 0.046463069203872644), ('searching right words', 0.07504836334843568), ('breather', 0.1680456893904008), ('searching', 0.26421447795375236), ('words', 0.26421447795375236), ('promise', 0.3126276318584983), ('wonderful blessing times', 0.39046416723501837), ('granted fulfil', 0.4451196252872818), ('wonderful blessing', 0.483739832173554), ('blessing times', 0.483739832173554), ('granted fulfil promise', 0.5026605294974842), ('wonderful', 0.5054575682917825), ('times', 0.5054575682917825), ('promise wont', 0.5314204645911502), ('fulfil promise', 0.5314204645911502), ('wont', 0.5549916791128103), ('granted', 0.5549916791128103), ('fulfil', 0.5549916791128103), ('blessing', 0.6450143698288692)]","['searching', 'words', 'promise', 'wonderful blessing times', 'granted fulfil', 'wonderful blessing', 'blessing times', 'granted fulfil promise', 'wonderful', 'times', 'promise wont', 'fulfil promise', 'wont', 'granted', 'fulfil', 'blessing']","searching,words,promise,wonderful blessing times,granted fulfil,wonderful blessing,blessing times,granted fulfil promise,wonderful,times,promise wont,fulfil promise,wont,granted,fulfil,blessing"
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,test,date sunday will!!,3,"[('date sunday', 0.04940384002065631), ('date', 0.15831692877998726), ('sunday', 0.29736558256021506)]",['sunday'],sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,train,"xxxmobilemovieclub: use credit, click wap link next txt message click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl",13,"[('txt message click', 0.025126430525707552), ('click wap link', 0.03398647898783084), ('link next txt', 0.06700577021681149), ('txt message', 0.06700577021681149), ('xxxmobilemovieclub', 0.0771485953923296), ('http', 0.0771485953923296), ('wap link', 0.08896099380767705), ('message click', 0.08896099380767705), ('click wap', 0.1189118212433493), ('credit', 0.15831692877998726), ('click', 0.16299886812352193), ('wap', 0.16299886812352193), ('xxxmobilemovieclub.com', 0.22501140196509825), ('qjkgighjjgcbl', 0.22501140196509825), ('link', 0.2505951825352756), ('txt', 0.2505951825352756), ('message', 0.2505951825352756)]","['xxxmobilemovieclub.com', 'qjkgighjjgcbl', 'link', 'txt', 'message']","xxxmobilemovieclub.com,qjkgighjjgcbl,link,txt,message"
ham,Oh k...i'm watching here:),0,train,oh k...i'm watching here:),4,"[('watching', 0.29736558256021506)]",['watching'],watching
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,test,eh u remember 2 spell name... yes did. v naughty make v wet.,13,"[('remember', 0.13696809108329627), ('spell', 0.13696809108329627), ('make v wet', 0.35487136790899465), ('wet', 0.44538603402402266), ('naughty make', 0.5286731219590494), ('naughty', 0.5880798524606783), ('make', 0.5880798524606783)]","['make v wet', 'wet', 'naughty make', 'naughty', 'make']","make v wet,wet,naughty make,naughty,make"
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,0,train,fine thatåõs way u feel. thatåõs way gota b,9,"[('fine thatåõs', 0.06775776554385206), ('fine', 0.16205454282434614), ('feel', 0.16205454282434614), ('thatåõs', 0.19579208512096213), ('thatåõs way gota', 0.27082834325462596), ('gota', 0.544229518153821)]","['thatåõs way gota', 'gota']","thatåõs way gota,gota"
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",1,test,"england v macedonia - dont miss goals/team news. txt ur national team 87077 eg england 87077 try:wales, scotland 4txt/ì¼1.20 poboxox36504w45wq 16+",21,"[('dont miss goals', 0.007068914020689559), ('dont miss', 0.041894706888585515), ('miss goals', 0.041894706888585515), ('macedonia', 0.15944641634547613), ('dont', 0.15944641634547613), ('goals', 0.15944641634547613), ('england v macedonia', 0.16178988360842692), ('wales', 0.22648867203048192), ('scotland', 0.22648867203048192), ('england', 0.23809055688805061), ('team', 0.23809055688805061), ('miss', 0.2521857611595444), ('txt ur national', 0.27265284888183433), ('national team', 0.34565318875119616), ('txt', 0.39715938496276104), ('national', 0.5394301995049116)]","['wales', 'scotland', 'england', 'team', 'miss', 'txt ur national', 'national team', 'txt', 'national']","wales,scotland,england,team,miss,txt ur national,national team,txt,national"
ham,Is that seriously how you spell his name?,0,train,seriously spell name?,3,"[('spell', 0.29736558256021506)]",['spell'],spell
ham,IÛ÷m going to try for 2 months ha ha only joking,0,train,iû÷m going try 2 months ha ha joking,8,"[('months', 0.09568045026443411), ('joking', 0.09568045026443411)]",[],
ham,So Ì_ pay first lar... Then when is da stock comin...,0,train,ì_ pay first lar... da stock comin...,7,"[('pay first lar', 0.04188746641162499), ('pay', 0.2005079697193566), ('lar', 0.2005079697193566), ('stock comin', 0.4456055016437946), ('comin', 0.46553351027698087), ('stock', 0.6621399683957523)]","['pay', 'lar', 'stock comin', 'comin', 'stock']","pay,lar,stock comin,comin,stock"
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,test,aft finish lunch go str lor. ard 3 smth lor. u finish ur lunch already?,15,"[('str lor', 0.11827373866959306), ('aft finish', 0.14381735855154457), ('aft finish lunch', 0.156815641229126), ('lor', 0.1728238652699946), ('smth lor', 0.19040485021873382), ('aft', 0.19872208403353062), ('ard', 0.27683952233877646), ('str', 0.3059894756145871), ('finish', 0.3163577631383759), ('lunch', 0.3163577631383759), ('lunch go str', 0.4277312353079604), ('smth', 0.46275339070720667), ('finish lunch', 0.6675808822871617), ('finish ur lunch', 1.4053740093407152)]","['ard', 'str', 'finish', 'lunch', 'lunch go str', 'smth', 'finish lunch', 'finish ur lunch']","ard,str,finish,lunch,lunch go str,smth,finish lunch,finish ur lunch"
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,train,ffffffffff. alright way meet sooner?,5,"[('ffffffffff', 0.05899937629682816), ('alright way meet', 0.4456055016437946), ('meet sooner', 0.4456055016437946), ('alright', 0.46553351027698087), ('sooner', 0.46553351027698087), ('meet', 0.6621399683957523)]","['alright way meet', 'meet sooner', 'alright', 'sooner', 'meet']","alright way meet,meet sooner,alright,sooner,meet"
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,test,forced eat slice. i'm really hungry tho. sucks. mark getting worried. knows i'm sick turn pizza. lol,17,"[('forced eat slice', 0.005260453547994609), ('forced eat', 0.03465229800090378), ('eat slice', 0.03465229800090378), ('forced', 0.1447773057422032), ('slice', 0.1447773057422032), ('hungry tho. sucks', 0.1746218571982045), ('eat', 0.23133275159292982), ('tho. sucks', 0.23338172234549467), ('mark getting worried', 0.2704390918235917), ('hungry tho.', 0.35350894161299157), ('sucks', 0.3702539456099092), ('mark', 0.4613789858464135), ('worried', 0.4613789858464135), ('pizza. lol', 0.500279879713408), ('hungry', 0.5110573480904945), ('tho.', 0.5110573480904945), ('lol', 0.5121371841744414), ('turn pizza. lol', 0.6323037950046478), ('sick', 0.6511101154454433), ('turn', 0.6511101154454433)]","['eat', 'tho. sucks', 'mark getting worried', 'hungry tho.', 'sucks', 'mark', 'worried', 'pizza. lol', 'hungry', 'tho.', 'lol', 'turn pizza. lol', 'sick', 'turn']","eat,tho. sucks,mark getting worried,hungry tho.,sucks,mark,worried,pizza. lol,hungry,tho.,lol,turn pizza. lol,sick,turn"
ham,Lol your always so convincing.,0,test,lol always convincing.,3,"[('lol always convincing', 0.02570861714399338), ('lol', 0.15831692877998726), ('convincing', 0.15831692877998726)]",[],
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,train,catch bus ? frying egg ? make tea? eating mom's left dinner ? feel love ?,16,"[('catch bus', 0.04188746641162499), ('frying egg', 0.04188746641162499), ('make tea', 0.04188746641162499), ('catch', 0.2005079697193566), ('bus', 0.2005079697193566), ('frying', 0.2005079697193566), ('egg', 0.2005079697193566), ('make', 0.2005079697193566), ('tea', 0.2005079697193566), ('feel love', 0.2766850298235749), ('eating mom', 0.4456055016437946), ('left dinner', 0.4456055016437946), ('eating', 0.46553351027698087), ('dinner', 0.46553351027698087), ('feel', 0.46553351027698087), ('love', 0.46553351027698087), ('eating mom left', 0.5777370055722434), ('mom left dinner', 0.5777370055722434), ('mom', 0.6621399683957523), ('left', 0.6621399683957523)]","['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'feel love', 'eating mom', 'left dinner', 'eating', 'dinner', 'feel', 'love', 'eating mom left', 'mom left dinner', 'mom', 'left']","catch,bus,frying,egg,make,tea,feel love,eating mom,left dinner,eating,dinner,feel,love,eating mom left,mom left dinner,mom,left"
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,train,"i'm back &amp; we're packing car now, i'll let know there's room",12,"[('packing car', 0.02570861714399338), ('back', 0.09568045026443411), ('room', 0.09568045026443411), ('packing', 0.15831692877998726), ('car', 0.15831692877998726)]",[],
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,test,ahhh. work. vaguely remember that! feel like? lol,8,"[('ahhh. work', 0.0565406034156422), ('ahhh.', 0.23133275159292982), ('work', 0.23133275159292982), ('lol', 0.31813151393529204), ('vaguely', 0.5110573480904945), ('vaguely remember', 0.5590489604659448), ('feel', 0.6036200563782421), ('remember', 0.7016498766455139)]","['ahhh.', 'work', 'lol', 'vaguely', 'vaguely remember', 'feel', 'remember']","ahhh.,work,lol,vaguely,vaguely remember,feel,remember"
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,test,"wait that's still clear, sure sarcastic that's x want live",10,"[('wait', 0.09568045026443411), ('clear', 0.09568045026443411), ('live', 0.09568045026443411), ('sarcastic', 0.15831692877998726)]",[],
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,test,yeah got 2 v apologetic. n fallen actin like spoilt child got caught that. till 2! go there! badly cheers. you?,21,"[('yeah', 0.15353084316509127), ('apologetic', 0.15353084316509127), ('till', 0.2897230000969756), ('fallen actin', 0.387110231964722), ('actin like spoilt', 0.387110231964722), ('spoilt child', 0.387110231964722), ('child got caught', 0.387110231964722), ('badly cheers', 0.4620246439700256), ('fallen', 0.5282771639219086), ('actin', 0.5282771639219086), ('spoilt', 0.5282771639219086), ('child', 0.5282771639219086), ('caught', 0.5282771639219086), ('badly', 0.562153894771392), ('cheers', 0.562153894771392)]","['till', 'fallen actin', 'actin like spoilt', 'spoilt child', 'child got caught', 'badly cheers', 'fallen', 'actin', 'spoilt', 'child', 'caught', 'badly', 'cheers']","till,fallen actin,actin like spoilt,spoilt child,child got caught,badly cheers,fallen,actin,spoilt,child,caught,badly,cheers"
ham,K tell me anything about you.,0,test,k tell anything you.,4,[],[],
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,test,fear fainting housework did? quick cuppa,6,"[('fear fainting housework', 0.03356262313410168), ('fear fainting', 0.07796891081290885), ('fainting housework', 0.1495930091794576), ('fear', 0.2005079697193566), ('quick cuppa', 0.2766850298235749), ('fainting', 0.36073110501666333), ('housework', 0.36073110501666333), ('quick', 0.46553351027698087), ('cuppa', 0.46553351027698087)]","['fear', 'quick cuppa', 'fainting', 'housework', 'quick', 'cuppa']","fear,quick cuppa,fainting,housework,quick,cuppa"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,train,thanks subscription ringtone uk mobile charged å£5/month please confirm replying yes no. reply charged,14,"[('month please confirm', 0.020744656539556924), ('subscription ringtone', 0.03439110359613085), ('ringtone uk mobile', 0.03439110359613085), ('confirm replying', 0.03439110359613085), ('mobile charged', 0.05033870131288873), ('reply charged', 0.05033870131288873), ('month', 0.11145728654016383), ('charged', 0.1314201551237121), ('subscription', 0.1823394614884183), ('ringtone', 0.1823394614884183), ('mobile', 0.1823394614884183), ('confirm', 0.1823394614884183), ('replying', 0.1823394614884183), ('reply', 0.1823394614884183)]",[],
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,train,yup... ok go home look timings msg ì_ again... xuhui going learn 2nd may lesson 8am,16,"[('yup', 0.06588837669267192), ('xuhui going learn', 0.5286731219590494), ('xuhui', 0.5880798524606783), ('learn', 0.5880798524606783), ('lesson', 0.5880798524606783), ('home', 0.68796622281612), ('timings', 0.68796622281612), ('msg', 0.68796622281612), ('home look timings', 0.8986050855370177), ('timings msg', 0.8986050855370177)]","['xuhui going learn', 'xuhui', 'learn', 'lesson', 'home', 'timings', 'msg', 'home look timings', 'timings msg']","xuhui going learn,xuhui,learn,lesson,home,timings,msg,home look timings,timings msg"
ham,"Oops, I'll let you know when my roommate's done",0,train,"oops, i'll let know roommate's done",6,"[('oops', 0.04491197687864554), ('roommate', 0.29736558256021506)]",['roommate'],roommate
ham,I see the letter B on my car,0,train,see letter b car,4,"[('letter b car', 0.04940384002065631), ('car', 0.15831692877998726), ('letter', 0.29736558256021506)]",['letter'],letter
ham,Anything lor... U decide...,0,train,anything lor... u decide...,4,"[('lor', 0.2005079697193566), ('decide', 0.46553351027698087)]","['lor', 'decide']","lor,decide"
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,train,hello! how's saturday go? texting see decided anything tomo. i'm trying invite anything!,13,"[('texting see decided', 0.38599679376725615), ('decided anything tomo', 0.38599679376725615), ('texting', 0.4613789858464135), ('tomo', 0.4613789858464135), ('saturday', 0.5110573480904945), ('decided', 0.6036200563782421), ('invite', 0.6511101154454433)]","['texting see decided', 'decided anything tomo', 'texting', 'tomo', 'saturday', 'decided', 'invite']","texting see decided,decided anything tomo,texting,tomo,saturday,decided,invite"
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,train,pls go ahead watts. wanted sure. great weekend. abiola,9,"[('pls go ahead', 0.0934346755383478), ('ahead watts', 0.0934346755383478), ('pls', 0.2200560909321288), ('watts', 0.2200560909321288), ('ahead', 0.38831292435681075), ('wanted', 0.4949246952252326), ('great', 0.5880798524606783), ('abiola', 0.5880798524606783), ('weekend.', 0.7625957055371981), ('great weekend.', 0.8131286944405928), ('weekend. abiola', 0.8131286944405928), ('great weekend. abiola', 0.926369888474246)]","['pls', 'watts', 'ahead', 'wanted', 'great', 'abiola', 'weekend.', 'great weekend.', 'weekend. abiola', 'great weekend. abiola']","pls,watts,ahead,wanted,great,abiola,weekend.,great weekend.,weekend. abiola,great weekend. abiola"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,train,"forget tell ? want , need you, crave ... ... love sweet arabian steed ... mmmmmm ... yummy",18,"[('crave', 0.06997357213356549), ('forget', 0.23133275159292982), ('mmmmmm', 0.31813151393529204), ('yummy', 0.31813151393529204), ('love', 0.6036200563782421), ('steed', 0.6036200563782421), ('sweet', 0.7740813452640246), ('arabian', 0.7740813452640246), ('love sweet', 0.8770566391161699), ('arabian steed', 0.8770566391161699), ('sweet arabian', 1.4950219888008849), ('love sweet arabian', 1.9068786287295503), ('sweet arabian steed', 1.9068786287295503)]","['forget', 'mmmmmm', 'yummy', 'love', 'steed', 'sweet', 'arabian', 'love sweet', 'arabian steed', 'sweet arabian', 'love sweet arabian', 'sweet arabian steed']","forget,mmmmmm,yummy,love,steed,sweet,arabian,love sweet,arabian steed,sweet arabian,love sweet arabian,sweet arabian steed"
